Pattern,Occurrences,Successes,Fails,Success Rate
CDL3INSIDE,2,2,0,1.0
CDL3STARSINSOUTH,1,1,0,1.0
CDLGAPSIDESIDEWHITE,4,4,0,1.0
CDLUNIQUE3RIVER,2,2,0,1.0
CDLCOUNTERATTACK,30,23,7,0.7667
CDLSEPARATINGLINES,4,3,1,0.75
CDLSHORTLINE,2076,1502,574,0.7235
CDLMARUBOZU,210,151,59,0.719
CDLSTICKSANDWICH,49,35,14,0.7143
CDLXSIDEGAP3METHODS,7,5,2,0.7143
CDLLONGLINE,356,250,106,0.7022
CDLENGULFING,43,30,13,0.6977
CDLBELTHOLD,578,401,177,0.6938
CDLCLOSINGMARUBOZU,484,335,149,0.6921
CDLGRAVESTONEDOJI,1487,1028,459,0.6913
CDL3LINESTRIKE,101,69,32,0.6832
CDLINVERTEDHAMMER,1500,1019,481,0.6793
CDLDOJI,6898,4683,2215,0.6789
CDLDOJISTAR,1837,1246,591,0.6783
CDLHOMINGPIGEON,362,244,118,0.674
CDLTAKURI,993,667,326,0.6717
CDLLONGLEGGEDDOJI,6244,4193,2051,0.6715
CDLSPINNINGTOP,4197,2812,1385,0.67
CDLDRAGONFLYDOJI,996,666,330,0.6687
CDLHIGHWAVE,3329,2225,1104,0.6684
CDLHARAMICROSS,1331,887,444,0.6664
CDLRICKSHAWMAN,3089,2056,1033,0.6656
CDLHARAMI,3016,2005,1011,0.6648
CDLHAMMER,3176,2102,1074,0.6618
CDLHIKKAKE,5492,3586,1906,0.6529
CDLMATCHINGLOW,1776,1152,624,0.6486
CDLHIKKAKEMOD,36,23,13,0.6389
CDL3OUTSIDE,5,3,2,0.6
CDLPIERCING,18,10,8,0.5556
CDLCONCEALBABYSWALL,4,2,2,0.5
CDLMORNINGSTAR,4,1,3,0.25
CDLMORNINGDOJISTAR,1,0,1,0.0
