Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
2013-02-14 17:21:00,2013-02-14 17:24:00,1.33584,1.33569,44915.558749550844,-6.737333812426898,993.2626661875731,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-04-10 14:52:00,2013-04-10 14:55:00,1.30583,1.30581,45638.222411228395,-0.9127644482305476,992.3499017393426,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-04-11 23:36:00,2013-04-11 23:38:00,1.3118,1.31171,45388.77428293989,-4.084989685471196,988.2649120538714,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-04-19 08:30:00,2013-04-19 08:34:00,1.30865,1.30878,45310.736043428165,5.890395685644006,994.1553077395154,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-05-15 16:01:00,2013-05-15 16:23:00,1.28753,1.28832,46328.4882405621,36.599505710036944,1030.7548134495523,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-05-28 17:44:00,2013-05-28 17:45:00,1.28533,1.28522,48116.272713601276,-5.292789998498763,1025.4620234510535,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-06-24 11:02:00,2013-06-24 11:03:00,1.30877,1.30853,47011.86717839132,-11.282848122814762,1014.1791753282387,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-07-10 23:14:00,2013-07-10 23:30:00,1.30958,1.30952,46465.85204393341,-2.787951122633634,1011.391224205605,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-09-05 13:05:00,2013-09-05 13:13:00,1.31196,1.31157,46254.05763311099,-18.03908247691849,993.3521417286865,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-09-23 22:50:00,2013-09-23 22:58:00,1.34925,1.34946,44173.52492401052,9.276440234044129,1002.6285819627307,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-10-23 23:17:00,2013-10-23 23:29:00,1.37874,1.37892,43632.3853067031,7.85382935519988,1010.4824113179305,Signal Exit,0.006,0.02,35,55,1.75,0.6
